"股票代碼","名稱","差額(仟元)","買進","賣出","外資","投信","自營商"
"2330","台積電","6,113,891","康和-澎湖: 628 										 										瑞士信貸: 285658 										 										港商麥格理: 101293 										 										摩根大通: 1542710 										 										台灣匯立證券: 5642613","兆豐-中壢: -2746 										 										玉山-城中: -16398 										 										美商高盛: -647766 										 										統一-台中: -34779 										 										統一-敦南: -51177 										 										中國信託-忠孝: -17950 										 										永豐金-中正: -10020 										 										國票-長城: -22122 										 										永豐金-板橋: -12994 										 										富邦-板橋: -14202 										 										凱基-松山: -11354 										 										(牛牛牛)亞-網路: -6568 										 										(牛牛牛)亞-鑫豐: -69646 										 										台新-高雄: -16276 										 										新加坡商瑞銀: -434231 										 										富邦-台北: -30796 										 										中國信託-嘉義: -2684 										 										兆豐-忠孝: -6192 										 										新光-新竹: -15639 										 										日盛-景美: -20365 										 										元大-竹科: -8463 										 										玉山-雙和: -5083 										 										凱基-大安: -1560","2","9","-1"
"2603","長榮","2,502,468","兆豐-中壢: 4820 										 										統一-台中: 4156 										 										瑞士信貸: 877438 										 										港商麥格理: 4960 										 										中國信託-忠孝: 92516 										 										凱基-松山: 15391 										 										(牛牛牛)亞-網路: 12937 										 										摩根大通: 643410 										 										新加坡商瑞銀: 897897 										 										台灣匯立證券: 7541 										 										新光-新竹: 12311 										 										元大-竹科: 228677","康和-澎湖: -4084 										 										玉山-城中: -31195 										 										美商高盛: -51023 										 										統一-敦南: -1683 										 										永豐金-中正: -16512 										 										國票-長城: -1115 										 										永豐金-板橋: -1440 										 										富邦-板橋: -35873 										 										(牛牛牛)亞-鑫豐: -4592 										 										台新-高雄: -47480 										 										富邦-台北: -43546 										 										中國信託-嘉義: -6003 										 										兆豐-忠孝: -13574 										 										日盛-景美: -14134 										 										玉山-雙和: -23451 										 										凱基-大安: -3881","1","-4","2"
"2609","陽明","1,983,079","美商高盛: 20700 										 										統一-台中: 21643 										 										瑞士信貸: 468964 										 										統一-敦南: 65432 										 										摩根大通: 801362 										 										新加坡商瑞銀: 867248 										 										台灣匯立證券: 17748 										 										新光-新竹: 37617 										 										凱基-大安: 1400","兆豐-中壢: -2200 										 										康和-澎湖: -2329 										 										玉山-城中: -11672 										 										港商麥格理: -23865 										 										中國信託-忠孝: -28503 										 										永豐金-中正: -4660 										 										國票-長城: -38403 										 										永豐金-板橋: -18588 										 										富邦-板橋: -11477 										 										凱基-松山: -10719 										 										(牛牛牛)亞-網路: -3554 										 										(牛牛牛)亞-鑫豐: -8903 										 										台新-高雄: -7146 										 										富邦-台北: -36314 										 										中國信託-嘉義: -3649 										 										兆豐-忠孝: -6411 										 										元大-竹科: -85444 										 										玉山-雙和: -15198","1","1","-2"
"2317","鴻海","1,041,113","美商高盛: 13123 										 										瑞士信貸: 52844 										 										港商麥格理: 6318 										 										摩根大通: 338870 										 										新加坡商瑞銀: 190994 										 										台灣匯立證券: 513803","康和-澎湖: -786 										 										玉山-城中: -5090 										 										統一-台中: -6438 										 										統一-敦南: -1085 										 										國票-長城: -4875 										 										永豐金-板橋: -2571 										 										富邦-板橋: -7551 										 										凱基-松山: -2886 										 										(牛牛牛)亞-鑫豐: -14048 										 										台新-高雄: -3511 										 										富邦-台北: -13334 										 										兆豐-忠孝: -3504 										 										新光-新竹: -4691 										 										日盛-景美: -2153 										 										玉山-雙和: -2316","2","-3","2"
"3711","日月光投控","630,514","港商麥格理: 10294 										 										摩根大通: 610950 										 										新加坡商瑞銀: 166565 										 										中國信託-嘉義: 355 										 										日盛-景美: 1452 										 										玉山-雙和: 2757","兆豐-中壢: -488 										 										康和-澎湖: -343 										 										玉山-城中: -1641 										 										美商高盛: -15786 										 										統一-台中: -1537 										 										統一-敦南: -709 										 										永豐金-板橋: -796 										 										富邦-板橋: -2504 										 										凱基-松山: -1538 										 										(牛牛牛)亞-鑫豐: -2196 										 										台灣匯立證券: -130417 										 										兆豐-忠孝: -2380 										 										元大-竹科: -1524","3","1","2"
"2303","聯電","453,641","康和-澎湖: 419 										 										美商高盛: 143452 										 										瑞士信貸: 81412 										 										港商麥格理: 33009 										 										中國信託-忠孝: 8552 										 										國票-長城: 9617 										 										(牛牛牛)亞-鑫豐: 3963 										 										新加坡商瑞銀: 213685 										 										富邦-台北: 7023","兆豐-中壢: -837 										 										統一-台中: -2504 										 										永豐金-板橋: -4670 										 										(牛牛牛)亞-網路: -2017 										 										台新-高雄: -2517 										 										中國信託-嘉義: -5592 										 										台灣匯立證券: -14207 										 										兆豐-忠孝: -5453 										 										新光-新竹: -2401 										 										日盛-景美: -2876 										 										元大-竹科: -3375 										 										凱基-大安: -1042","2","1","-5"
"2108","南帝","363,743","兆豐-中壢: 417 										 										美商高盛: 26714 										 										瑞士信貸: 214378 										 										新加坡商瑞銀: 148499","玉山-城中: -1958 										 										永豐金-中正: -1437 										 										國票-長城: -836 										 										台新-高雄: -5713 										 										富邦-台北: -13668 										 										中國信託-嘉義: -423 										 										日盛-景美: -2230","2","0","4"
"6672","騰輝電子-KY","332,242","美商高盛: 10857 										 										統一-敦南: 25914 										 										凱基-松山: 222884 										 										(牛牛牛)亞-網路: 585 										 										摩根大通: 35493 										 										新加坡商瑞銀: 57045 										 										日盛-景美: 6667","玉山-城中: -2131 										 										統一-台中: -840 										 										中國信託-忠孝: -1705 										 										永豐金-中正: -3253 										 										國票-長城: -703 										 										(牛牛牛)亞-鑫豐: -10877 										 										台新-高雄: -1510 										 										中國信託-嘉義: -425 										 										新光-新竹: -3412 										 										玉山-雙和: -1492 										 										凱基-大安: -855","1","0","1"
"3105","穩懋","329,533","美商高盛: 222947 										 										港商麥格理: 7154 										 										永豐金-板橋: 1443 										 										(牛牛牛)亞-網路: 1835 										 										新加坡商瑞銀: 214258 										 										中國信託-嘉義: 742 										 										台灣匯立證券: 7011 										 										新光-新竹: 2547 										 										元大-竹科: 2222 										 										玉山-雙和: 783","康和-澎湖: -368 										 										玉山-城中: -3658 										 										統一-台中: -3201 										 										瑞士信貸: -30778 										 										統一-敦南: -1136 										 										中國信託-忠孝: -1059 										 										富邦-板橋: -2457 										 										凱基-松山: -2241 										 										(牛牛牛)亞-鑫豐: -1780 										 										台新-高雄: -1436 										 										摩根大通: -60811 										 										富邦-台北: -8778 										 										兆豐-忠孝: -5900 										 										日盛-景美: -7397 										 										凱基-大安: -409","2","1","2"
"3481","群創","316,690","兆豐-中壢: 1075 										 										康和-澎湖: 3632 										 										玉山-城中: 2724 										 										美商高盛: 22506 										 										統一-台中: 892 										 										瑞士信貸: 68561 										 										統一-敦南: 2670 										 										中國信託-忠孝: 5076 										 										永豐金-中正: 12466 										 										永豐金-板橋: 11078 										 										凱基-松山: 2317 										 										(牛牛牛)亞-鑫豐: 8633 										 										摩根大通: 53225 										 										新加坡商瑞銀: 173906 										 										中國信託-嘉義: 821 										 										兆豐-忠孝: 4651 										 										元大-竹科: 1003 										 										玉山-雙和: 1364","港商麥格理: -638 										 										富邦-板橋: -3268 										 										(牛牛牛)亞-網路: -1834 										 										富邦-台北: -25350 										 										台灣匯立證券: -19129 										 										新光-新竹: -7834 										 										凱基-大安: -1857","1","-4","-4"
"3008","大立光","313,881","瑞士信貸: 24535 										 										摩根大通: 218041 										 										台灣匯立證券: 111532 										 										新光-新竹: 2282 										 										玉山-雙和: 2969","美商高盛: -17083 										 										中國信託-忠孝: -19035 										 										富邦-板橋: -2887 										 										凱基-松山: -6473","2","1","-1"
"2615","萬海","297,530","康和-澎湖: 2230 										 										統一-敦南: 6560 										 										國票-長城: 1861 										 										凱基-松山: 250340 										 										台新-高雄: 4832 										 										新加坡商瑞銀: 34853 										 										富邦-台北: 7684 										 										兆豐-忠孝: 3529 										 										元大-竹科: 51619","兆豐-中壢: -2248 										 										玉山-城中: -4012 										 										美商高盛: -8078 										 										統一-台中: -4534 										 										中國信託-忠孝: -1529 										 										永豐金-中正: -8493 										 										永豐金-板橋: -5772 										 										富邦-板橋: -7914 										 										(牛牛牛)亞-鑫豐: -9605 										 										中國信託-嘉義: -604 										 										台灣匯立證券: -5639 										 										新光-新竹: -1454 										 										日盛-景美: -2546 										 										玉山-雙和: -3550","-4","0","5"
"2409","友達","237,324","美商高盛: 71673 										 										瑞士信貸: 15164 										 										統一-敦南: 2489 										 										永豐金-中正: 11482 										 										永豐金-板橋: 13817 										 										(牛牛牛)亞-鑫豐: 1544 										 										新加坡商瑞銀: 229617 										 										中國信託-嘉義: 763 										 										兆豐-忠孝: 2837 										 										凱基-大安: 297","玉山-城中: -2758 										 										統一-台中: -1122 										 										港商麥格理: -572 										 										摩根大通: -49953 										 										富邦-台北: -28711 										 										台灣匯立證券: -17822 										 										新光-新竹: -1628 										 										日盛-景美: -4533 										 										玉山-雙和: -5260","1","-4","1"
"6415","矽力-KY","227,876","美商高盛: 89441 										 										瑞士信貸: 131750 										 										港商麥格理: 19700 										 										(牛牛牛)亞-網路: 16475 										 										新加坡商瑞銀: 19670","摩根大通: -49160","-7","1","0"
"9958","世紀鋼","225,694","瑞士信貸: 39694 										 										富邦-板橋: 4270 										 										摩根大通: 159990 										 										新加坡商瑞銀: 31805 										 										兆豐-忠孝: 8027 										 										新光-新竹: 4114 										 										元大-竹科: 7011","兆豐-中壢: -769 										 										康和-澎湖: -250 										 										玉山-城中: -1501 										 										統一-台中: -2101 										 										統一-敦南: -8082 										 										中國信託-忠孝: -4965 										 										凱基-松山: -1252 										 										台新-高雄: -1853 										 										富邦-台北: -3706 										 										中國信託-嘉義: -1155 										 										日盛-景美: -1517 										 										凱基-大安: -2066","1","3","1"
"3362","先進光","212,336","統一-台中: 228613 										 										永豐金-中正: 1409","兆豐-中壢: -572 										 										玉山-城中: -880 										 										統一-敦南: -854 										 										中國信託-忠孝: -10843 										 										富邦-台北: -2298 										 										元大-竹科: -954 										 										玉山-雙和: -1285","3","0","0"
"3707","漢磊","211,722","美商高盛: 24381 										 										統一-台中: 1907 										 										瑞士信貸: 22626 										 										摩根大通: 57278 										 										新加坡商瑞銀: 98124 										 										兆豐-忠孝: 29749 										 										玉山-雙和: 801","兆豐-中壢: -1580 										 										玉山-城中: -1728 										 										中國信託-忠孝: -1258 										 										永豐金-中正: -2240 										 										富邦-板橋: -1729 										 										凱基-松山: -1022 										 										富邦-台北: -2709 										 										中國信託-嘉義: -518 										 										新光-新竹: -2408 										 										日盛-景美: -6070 										 										凱基-大安: -1882","1","2","1"
"2412","中華電","203,093","瑞士信貸: 35966 										 										港商麥格理: 21412 										 										摩根大通: 20418 										 										新加坡商瑞銀: 120876 										 										台灣匯立證券: 13855","中國信託-忠孝: -975 										 										富邦-板橋: -1707 										 										(牛牛牛)亞-網路: -2083 										 										(牛牛牛)亞-鑫豐: -1915 										 										富邦-台北: -1609 										 										兆豐-忠孝: -1145","4","2","0"
"2002","中鋼","196,414","美商高盛: 88780 										 										統一-台中: 9895 										 										瑞士信貸: 71077 										 										(牛牛牛)亞-網路: 1355 										 										富邦-台北: 22142 										 										中國信託-嘉義: 550 										 										台灣匯立證券: 1916 										 										兆豐-忠孝: 936 										 										新光-新竹: 10633 										 										日盛-景美: 2569 										 										元大-竹科: 9141","玉山-城中: -1929 										 										統一-敦南: -1115 										 										港商麥格理: -327 										 										中國信託-忠孝: -2441 										 										永豐金-中正: -6413 										 										永豐金-板橋: -1228 										 										富邦-板橋: -3556 										 										台新-高雄: -2405 										 										凱基-大安: -3166","2","-4","2"
"2641","正德","187,336","康和-澎湖: 268 										 										凱基-松山: 192978 										 										(牛牛牛)亞-網路: 1060 										 										中國信託-嘉義: 478","永豐金-板橋: -534 										 										富邦-板橋: -1087 										 										台新-高雄: -3335 										 										新光-新竹: -2492","1","0","0"
"3035","智原","184,082","玉山-城中: 1202 										 										瑞士信貸: 59392 										 										摩根大通: 142753 										 										新加坡商瑞銀: 29870","兆豐-中壢: -389 										 										康和-澎湖: -306 										 										統一-台中: -1803 										 										永豐金-中正: -3091 										 										永豐金-板橋: -1856 										 										富邦-板橋: -4087 										 										凱基-松山: -1408 										 										(牛牛牛)亞-鑫豐: -1680 										 										台新-高雄: -6387 										 										富邦-台北: -5316 										 										兆豐-忠孝: -1010 										 										新光-新竹: -11354 										 										日盛-景美: -4842 										 										元大-竹科: -2249 										 										玉山-雙和: -2431 										 										凱基-大安: -926","2","2","-1"
"8924","大田","180,727","玉山-城中: 11469 										 										美商高盛: 26596 										 										中國信託-忠孝: 828 										 										永豐金-板橋: 1151 										 										摩根大通: 114664 										 										新加坡商瑞銀: 38593 										 										日盛-景美: 5178","統一-台中: -2270 										 										凱基-松山: -1233 										 										(牛牛牛)亞-鑫豐: -2476 										 										台新-高雄: -1335 										 										富邦-台北: -5661 										 										兆豐-忠孝: -2416 										 										元大-竹科: -2033 										 										凱基-大安: -328","1","2","1"
"6669","緯穎","141,606","玉山-城中: 943 										 										美商高盛: 31489 										 										國票-長城: 20027 										 										摩根大通: 62849 										 										新加坡商瑞銀: 20304 										 										台灣匯立證券: 19480","永豐金-板橋: -966 										 										凱基-松山: -6713 										 										富邦-台北: -2934 										 										元大-竹科: -2873","5","2","1"
