"股票代碼","名稱","差額(仟元)","買進","賣出","外資","投信","自營商"
"2330","台積電","5,527,381","統一-台中: 20498 										 										瑞士信貸: 3026124 										 										港商麥格理: 511660 										 										摩根大通: 1310003 										 										新加坡商瑞銀: 960884 										 										台灣匯立證券: 140538","兆豐-中壢: -10692 										 										康和-澎湖: -4363 										 										玉山-城中: -34539 										 										美商高盛: -96071 										 										統一-敦南: -32091 										 										中國信託-忠孝: -1199 										 										永豐金-中正: -34395 										 										國票-長城: -12520 										 										永豐金-板橋: -15605 										 										富邦-板橋: -34518 										 										凱基-松山: -11975 										 										(牛牛牛)亞-網路: -7491 										 										(牛牛牛)亞-鑫豐: -8029 										 										台新-高雄: -26084 										 										富邦-台北: -39406 										 										中國信託-嘉義: -1929 										 										兆豐-忠孝: -10848 										 										新光-新竹: -27711 										 										日盛-景美: -9698 										 										元大-竹科: -8577 										 										玉山-雙和: -13907 										 										凱基-大安: -678","1","8","1"
"2454","聯發科","1,331,405","美商高盛: 96339 										 										統一-台中: 4605 										 										瑞士信貸: 152645 										 										港商麥格理: 71850 										 										凱基-松山: 5277 										 										摩根大通: 1207878 										 										兆豐-忠孝: 94235","康和-澎湖: -298 										 										玉山-城中: -15081 										 										統一-敦南: -1099 										 										中國信託-忠孝: -22969 										 										永豐金-中正: -2458 										 										國票-長城: -11884 										 										永豐金-板橋: -2004 										 										富邦-板橋: -12769 										 										(牛牛牛)亞-網路: -8021 										 										(牛牛牛)亞-鑫豐: -3447 										 										台新-高雄: -12705 										 										新加坡商瑞銀: -66877 										 										富邦-台北: -27790 										 										中國信託-嘉義: -2065 										 										台灣匯立證券: -77681 										 										日盛-景美: -7209 										 										元大-竹科: -14298 										 										玉山-雙和: -6507 										 										凱基-大安: -6262","2","3","1"
"3711","日月光投控","592,864","美商高盛: 52048 										 										瑞士信貸: 56147 										 										港商麥格理: 26511 										 										(牛牛牛)亞-網路: 582 										 										摩根大通: 338204 										 										新加坡商瑞銀: 136604","兆豐-中壢: -343 										 										中國信託-忠孝: -1519 										 										國票-長城: -5896 										 										富邦-台北: -3714 										 										台灣匯立證券: -1136 										 										兆豐-忠孝: -1855 										 										日盛-景美: -1170 										 										元大-竹科: -1368 										 										凱基-大安: -231","2","-1","1"
"2383","台光電","390,150","美商高盛: 94912 										 										瑞士信貸: 36887 										 										凱基-松山: 332970 										 										富邦-台北: 2134","兆豐-中壢: -1129 										 										康和-澎湖: -389 										 										玉山-城中: -1970 										 										統一-台中: -4033 										 										統一-敦南: -19571 										 										中國信託-忠孝: -3360 										 										國票-長城: -1486 										 										永豐金-板橋: -5015 										 										富邦-板橋: -1817 										 										台新-高雄: -6225 										 										中國信託-嘉義: -1153 										 										台灣匯立證券: -10737 										 										兆豐-忠孝: -3981 										 										新光-新竹: -3294 										 										日盛-景美: -9507 										 										玉山-雙和: -3086","3","3","-1"
"2337","旺宏","336,058","美商高盛: 24556 										 										統一-台中: 674 										 										瑞士信貸: 42229 										 										摩根大通: 252282 										 										新加坡商瑞銀: 58484 										 										元大-竹科: 920 										 										玉山-雙和: 905","康和-澎湖: -1212 										 										玉山-城中: -3883 										 										港商麥格理: -3889 										 										國票-長城: -1663 										 										永豐金-板橋: -962 										 										富邦-板橋: -2737 										 										凱基-松山: -2965 										 										(牛牛牛)亞-網路: -740 										 										(牛牛牛)亞-鑫豐: -4720 										 										台新-高雄: -6871 										 										兆豐-忠孝: -4849 										 										新光-新竹: -7355 										 										日盛-景美: -1540 										 										凱基-大安: -606","1","8","1"
"2881","富邦金","301,958","港商麥格理: 7741 										 										摩根大通: 140240 										 										新加坡商瑞銀: 156834 										 										台灣匯立證券: 15288","玉山-城中: -2176 										 										統一-台中: -3749 										 										統一-敦南: -956 										 										中國信託-忠孝: -736 										 										(牛牛牛)亞-鑫豐: -2075 										 										台新-高雄: -4262 										 										富邦-台北: -3675 										 										凱基-大安: -516","1","1","1"
"2368","金像電","285,347","美商高盛: 18090 										 										瑞士信貸: 36707 										 										統一-敦南: 11164 										 										永豐金-板橋: 3203 										 										(牛牛牛)亞-網路: 781 										 										摩根大通: 95763 										 										新加坡商瑞銀: 143651 										 										兆豐-忠孝: 1997 										 										日盛-景美: 1682","兆豐-中壢: -422 										 										康和-澎湖: -2935 										 										玉山-城中: -3618 										 										統一-台中: -1842 										 										中國信託-忠孝: -758 										 										國票-長城: -1725 										 										富邦-板橋: -2081 										 										凱基-松山: -2222 										 										(牛牛牛)亞-鑫豐: -2584 										 										台新-高雄: -1916 										 										富邦-台北: -3553 										 										中國信託-嘉義: -2064 										 										元大-竹科: -1202 										 										玉山-雙和: -769","1","1","1"
"2303","聯電","263,743","康和-澎湖: 256 										 										美商高盛: 93584 										 										統一-台中: 9184 										 										瑞士信貸: 117075 										 										永豐金-板橋: 1325 										 										新加坡商瑞銀: 224866 										 										富邦-台北: 43118 										 										台灣匯立證券: 8373 										 										日盛-景美: 742 										 										元大-竹科: 8100 										 										凱基-大安: 4619","玉山-城中: -2292 										 										統一-敦南: -5657 										 										港商麥格理: -109520 										 										中國信託-忠孝: -9057 										 										國票-長城: -8586 										 										台新-高雄: -19313 										 										摩根大通: -35599 										 										兆豐-忠孝: -1864 										 										新光-新竹: -54955 										 										玉山-雙和: -656","1","-2","-4"
"2317","鴻海","227,328","兆豐-中壢: 351 										 										統一-台中: 4008 										 										瑞士信貸: 32665 										 										港商麥格理: 98 										 										摩根大通: 205317 										 										新加坡商瑞銀: 182394 										 										台灣匯立證券: 23512 										 										兆豐-忠孝: 11110","玉山-城中: -1967 										 										美商高盛: -214061 										 										中國信託-忠孝: -1339 										 										永豐金-板橋: -667 										 										凱基-松山: -10862 										 										新光-新竹: -2422 										 										玉山-雙和: -809","1","-2","1"
"2308","台達電","215,336","港商麥格理: 20355 										 										(牛牛牛)亞-鑫豐: 1767 										 										摩根大通: 39531 										 										富邦-台北: 1479 										 										台灣匯立證券: 320992 										 										玉山-雙和: 1461","美商高盛: -40340 										 										瑞士信貸: -37773 										 										統一-敦南: -894 										 										國票-長城: -7683 										 										新加坡商瑞銀: -83559","1","0","1"
