"股票代碼","名稱","差額(仟元)","買進","賣出","外資","投信","自營商"
"1229","聯華","14,868","康和-澎湖: 309 										 										美商高盛: 16554","玉山-城中: -1493 										 										中國信託-嘉義: -502","2","-1","1"
"1304","台聚","14,826","瑞士信貸: 14751 										 										中國信託-嘉義: 430","凱基-大安: -355","-1","0","1"
"6016","康和證","14,278","國票-長城: 14734","(牛牛牛)亞-網路: -456","-6","0","0"
"2915","潤泰全","14,115","玉山-城中: 2624 										 										中國信託-忠孝: 29674","摩根大通: -18183","-1","-6","-1"
"2441","超豐","13,838","台灣匯立證券: 13838","","3","-4","1"
"4966","譜瑞-KY","13,835","港商麥格理: 64435 										 										摩根大通: 50775","美商高盛: -78860 										 										中國信託-忠孝: -22515","1","1","3"
"2014","中鴻","13,516","兆豐-中壢: 1328 										 										康和-澎湖: 894 										 										統一-敦南: 2922 										 										中國信託-忠孝: 1141 										 										國票-長城: 3002 										 										永豐金-板橋: 735 										 										(牛牛牛)亞-網路: 1087 										 										(牛牛牛)亞-鑫豐: 3360 										 										台新-高雄: 1770 										 										中國信託-嘉義: 1829 										 										台灣匯立證券: 1390 										 										元大-竹科: 2409","統一-台中: -2953 										 										兆豐-忠孝: -1870 										 										新光-新竹: -3528","-2","-1","1"
"2613","中櫃","13,420","統一-敦南: 815 										 										中國信託-嘉義: 682 										 										元大-竹科: 11923","","4","0","0"
"6491","晶碩","13,415","台灣匯立證券: 17432","兆豐-中壢: -570 										 										日盛-景美: -3447","1","2","1"
"4958","臻鼎-KY","13,280","摩根大通: 127571 										 										富邦-台北: 32394","瑞士信貸: -98717 										 										港商麥格理: -13259 										 										新加坡商瑞銀: -34709","-6","2","1"
"1608","華榮","12,925","美商高盛: 11924 										 										兆豐-忠孝: 1001","","3","0","1"
"2481","強茂","12,837","美商高盛: 14209 										 										永豐金-板橋: 868","日盛-景美: -1040 										 										元大-竹科: -1200","1","0","1"
"6251","定穎","12,264","中國信託-忠孝: 4549 										 										國票-長城: 882 										 										台新-高雄: 1854 										 										日盛-景美: 1622 										 										玉山-雙和: 3357","","-1","0","0"
"2376","技嘉","12,224","瑞士信貸: 19067 										 										中國信託-忠孝: 1357 										 										永豐金-中正: 2763 										 										凱基-松山: 1590 										 										摩根大通: 63405 										 										富邦-台北: 3031","美商高盛: -48390 										 										國票-長城: -30599","1","-9","-1"
"2009","第一銅","12,111","瑞士信貸: 21474 										 										富邦-板橋: 1284 										 										凱基-松山: 1343 										 										中國信託-嘉義: 1488 										 										日盛-景美: 1150","統一-台中: -4453 										 										國票-長城: -5309 										 										(牛牛牛)亞-網路: -2270 										 										台新-高雄: -1385 										 										元大-竹科: -1211","1","0","1"
"4739","康普","11,788","富邦-台北: 9487 										 										元大-竹科: 2301","","3","0","2"
"1325","恆大","11,414","港商麥格理: 13000","兆豐-中壢: -526 										 										康和-澎湖: -1060","1","0","-3"
"3673","TPK-KY","10,882","台灣匯立證券: 10882","","-1","0","-1"
"00715","L期街口布蘭特正2","10,773","永豐金-中正: 2057 										 										台新-高雄: 4047 										 										新光-新竹: 5174","中國信託-嘉義: -505","None","None","None"
"2887","台新金","10,499","港商麥格理: 8070 										 										新光-新竹: 1383 										 										玉山-雙和: 1046","","-1","-1","1"
"6411","晶焱","10,171","美商高盛: 12377 										 										中國信託-忠孝: 1335","康和-澎湖: -267 										 										玉山-城中: -913 										 										統一-台中: -1052 										 										富邦-板橋: -1309","1","0","1"
"3413","京鼎","10,078","兆豐-中壢: 237 										 										統一-台中: 934 										 										中國信託-忠孝: 1415 										 										(牛牛牛)亞-鑫豐: 1861 										 										中國信託-嘉義: 705 										 										日盛-景美: 2818 										 										玉山-雙和: 2108","","4","-1","-2"
"1477","聚陽","10,055","玉山-城中: 2060 										 										美商高盛: 24797 										 										永豐金-中正: 2838 										 										兆豐-忠孝: 1799","新加坡商瑞銀: -19358 										 										台灣匯立證券: -1559 										 										凱基-大安: -522","-2","-4","1"
"1312","國喬","9,196","港商麥格理: 13505 										 										中國信託-忠孝: 3424 										 										國票-長城: 752 										 										富邦-板橋: 2434 										 										富邦-台北: 4325 										 										台灣匯立證券: 12528","玉山-城中: -1054 										 										美商高盛: -24146 										 										(牛牛牛)亞-鑫豐: -1761 										 										中國信託-嘉義: -811","-1","-1","-1"
"4746","台耀","9,133","(牛牛牛)亞-網路: 840 										 										富邦-台北: 10169 										 										兆豐-忠孝: 1841 										 										新光-新竹: 2491 										 										日盛-景美: 1466 										 										玉山-雙和: 1554","元大-竹科: -9228","-3","0","0"
"2451","創見","9,023","統一-敦南: 880 										 										港商麥格理: 9466","凱基-松山: -513 										 										兆豐-忠孝: -810","5","0","0"
"2029","盛餘","8,960","統一-敦南: 1015 										 										(牛牛牛)亞-網路: 517 										 										台灣匯立證券: 7428","","4","0","0"
"1702","南僑","8,741","(牛牛牛)亞-鑫豐: 1369 										 										台灣匯立證券: 7372","","-2","-1","2"
"2301","光寶科","8,560","港商麥格理: 14255","台灣匯立證券: -5695","3","-2","9"
"3081","聯亞","8,242","統一-台中: 3339 										 										統一-敦南: 2718 										 										中國信託-嘉義: 558 										 										兆豐-忠孝: 5754","兆豐-中壢: -278 										 										玉山-城中: -1119 										 										永豐金-中正: -1583 										 										玉山-雙和: -1147","1","-1","-2"
"2610","華航","8,234","兆豐-中壢: 2998 										 										玉山-城中: 5074 										 										凱基-松山: 1278 										 										台新-高雄: 2359 										 										兆豐-忠孝: 1291 										 										新光-新竹: 1844","永豐金-中正: -3846 										 										(牛牛牛)亞-鑫豐: -2067 										 										凱基-大安: -697","-2","1","1"
"3317","尼克森","7,928","台灣匯立證券: 7928","","1","0","5"
"1513","中興電","7,865","永豐金-板橋: 8114","康和-澎湖: -249","-1","0","-2"
"3017","奇鋐","7,184","瑞士信貸: 30689 										 										富邦-板橋: 909 										 										兆豐-忠孝: 1465","國票-長城: -923 										 										台灣匯立證券: -18425 										 										新光-新竹: -6531","1","0","-4"
"2484","希華","7,076","新光-新竹: 10578 										 										玉山-雙和: 796","富邦-板橋: -2394 										 										兆豐-忠孝: -911 										 										日盛-景美: -993","-3","0","0"
"1717","長興","7,049","兆豐-中壢: 363 										 										永豐金-中正: 887 										 										兆豐-忠孝: 7029","統一-敦南: -1230","-1","-2","-1"
"3680","家登","6,928","台灣匯立證券: 4504 										 										兆豐-忠孝: 2523 										 										新光-新竹: 3678","(牛牛牛)亞-網路: -1116 										 										富邦-台北: -2661","1","0","-2"
"6271","同欣電","6,909","中國信託-忠孝: 4370 										 										(牛牛牛)亞-鑫豐: 3639","玉山-城中: -1100","-2","-1","1"
"5522","遠雄","6,764","港商麥格理: 4750 										 										富邦-板橋: 863 										 										日盛-景美: 1151","","-1","-1","2"
"2891B","中信金乙特","6,713","港商麥格理: 6713","","None","None","None"
"4919","新唐","6,533","中國信託-忠孝: 1240 										 										永豐金-中正: 1150 										 										兆豐-忠孝: 1406 										 										新光-新竹: 2477 										 										元大-竹科: 1084 										 										凱基-大安: 858","台新-高雄: -1682","-2","-1","-2"
"5289","宜鼎","6,479","統一-台中: 1981 										 										台灣匯立證券: 4498","","-4","0","-1"
"8046","南電","5,967","玉山-城中: 1695 										 										美商高盛: 16015 										 										統一-敦南: 694 										 										台新-高雄: 6932 										 										摩根大通: 51258","凱基-松山: -9058 										 										(牛牛牛)亞-鑫豐: -3450 										 										新加坡商瑞銀: -55637 										 										富邦-台北: -2482","-1","1","-1"
"3044","健鼎","5,766","港商麥格理: 42585 										 										富邦-台北: 9638","新加坡商瑞銀: -41830 										 										台灣匯立證券: -4627","-1","-6","6"
"6168","宏齊","5,710","新光-新竹: 5710","","-1","0","2"
"1785","光洋科","5,642","兆豐-忠孝: 32411","玉山-城中: -3368 										 										摩根大通: -23401","-5","0","0"
"3138","耀登","5,504","統一-台中: 7101 										 										台新-高雄: 2322","統一-敦南: -1405 										 										元大-竹科: -2514","1","0","0"
"3008","大立光","5,255","瑞士信貸: 33961 										 										中國信託-忠孝: 2959 										 										富邦-板橋: 3285 										 										台灣匯立證券: 6040 										 										玉山-雙和: 9105","美商高盛: -27330 										 										摩根大通: -19839 										 										新光-新竹: -2926","-1","-1","-2"
"2059","川湖","5,141","港商麥格理: 9037","富邦-台北: -3896","11","0","2"
"5871A","中租-KY甲特","4,978","港商麥格理: 4978","","None","None","None"
"9919","康那香","4,948","元大-竹科: 7413","永豐金-板橋: -684 										 										新光-新竹: -1781","1","0","-2"
"5534","長虹","4,717","港商麥格理: 5504","國票-長城: -787","2","0","1"
"1301","台塑","4,588","港商麥格理: 18423 										 										新加坡商瑞銀: 27458","美商高盛: -38467 										 										永豐金-板橋: -1040 										 										台新-高雄: -1786","1","-5","1"
"1528","恩德","4,553","富邦-台北: 4553","","-4","0","0"
"2465","麗臺","4,546","永豐金-中正: 1972 										 										國票-長城: 2713 										 										永豐金-板橋: 1841","富邦-台北: -1980","2","0","0"
"2313","華通","4,541","新光-新竹: 4541","","1","-2","1"
"3289","宜特","4,513","(牛牛牛)亞-網路: 525 										 										玉山-雙和: 1362 										 										凱基-大安: 2626","","3","0","1"
"2520","冠德","4,387","永豐金-中正: 1628 										 										台新-高雄: 2268 										 										中國信託-嘉義: 491","","-3","0","-1"
"9105","泰金寶-DR","4,340","統一-敦南: 949 										 										台新-高雄: 3690","兆豐-中壢: -299","3","0","0"
"5471","松翰","4,323","瑞士信貸: 18585 										 										台新-高雄: 1339","新加坡商瑞銀: -15025 										 										中國信託-嘉義: -576","1","-1","-2"
"6231","系微","4,231","台灣匯立證券: 4231","","4","0","0"
"6188","廣明","4,059","中國信託-忠孝: 1197 										 										國票-長城: 2862","","1","0","1"
"6756","威鋒電子","4,035","康和-澎湖: 264 										 										統一-台中: 1923 										 										統一-敦南: 1585 										 										凱基-大安: 263","","1","1","1"
"9802","鈺齊-KY","3,852","國票-長城: 3852","","-4","-3","1"
"8261","富鼎","3,847","康和-澎湖: 213 										 										富邦-台北: 3208 										 										中國信託-嘉義: 426","","1","0","1"
"8249","菱光","3,458","富邦-板橋: 1420 										 										凱基-大安: 2038","","1","0","0"
"1527","鑽全","3,447","台新-高雄: 3447","","-1","0","1"
"1612","宏泰","3,439","日盛-景美: 3193 										 										元大-竹科: 1403","中國信託-忠孝: -1157","3","0","2"
"2101","南港","3,416","統一-台中: 1916 										 										中國信託-忠孝: 1500","","-1","-1","0"
"4107","邦特","3,393","台灣匯立證券: 5488","永豐金-中正: -2095","3","0","0"
"3019","亞光","3,328","玉山-城中: 3328","","4","0","4"
"5603","陸海","3,291","康和-澎湖: 355 										 										中國信託-忠孝: 1623 										 										元大-竹科: 1313","","-2","0","0"
"3005","神基","3,225","台新-高雄: 1497 										 										台灣匯立證券: 5211","(牛牛牛)亞-網路: -1533 										 										新光-新竹: -1950","-12","-3","9"
"6781","AES-KY","3,207","中國信託-忠孝: 4000 										 										玉山-雙和: 800","元大-竹科: -1593","-1","5","1"
"00620","8富邦台50","3,143","台新-高雄: 1268 										 										日盛-景美: 1875","","None","None","None"
"1440","南紡","3,111","統一-台中: 1146 										 										(牛牛牛)亞-鑫豐: 2715","兆豐-中壢: -750","1","0","2"
"6026","福邦證","3,087","國票-長城: 4852","中國信託-忠孝: -1765","1","0","0"
"8431","匯鑽科","3,067","富邦-台北: 3067","","1","0","1"
"2472","立隆電","2,997","富邦-板橋: 2997","","1","0","-1"
"3045","台灣大","2,987","玉山-城中: 2987","","-2","-2","2"
"2351","順德","2,983","統一-台中: 1249 										 										國票-長城: 971 										 										富邦-板橋: 1726","兆豐-中壢: -383 										 										中國信託-嘉義: -580","2","3","2"
"2611","志信","2,953","元大-竹科: 5505 										 										凱基-大安: 233","統一-敦南: -1487 										 										台新-高雄: -1298","3","0","0"
"5443","均豪","2,913","台新-高雄: 3746 										 										中國信託-嘉義: 1043","(牛牛牛)亞-網路: -1876","1","0","1"
"8096","擎亞","2,769","統一-台中: 2769","","5","0","0"
"6762","達亞","2,664","統一-台中: 2664","","1","0","0"
"4760","勤凱","2,547","永豐金-中正: 2547","","1","0","0"
"4173","久裕","2,377","富邦-台北: 2377","","-3","0","0"
"2453","凌群","2,227","凱基-松山: 2227","","0","0","0"
"2399","映泰","2,211","永豐金-中正: 1571 										 										兆豐-忠孝: 1195 										 										凱基-大安: 530","富邦-板橋: -1085","2","0","0"
"6712","長聖","2,196","兆豐-中壢: 880 										 										兆豐-忠孝: 1316","","-2","0","0"
"5274","信驊","2,175","富邦-台北: 2175","","-2","1","1"
"8927","北基","2,132","凱基-松山: 2462","康和-澎湖: -330","-7","0","-2"
"00642","U期元大S＆P石油","1,978","統一-台中: 1978","","None","None","None"
"4736","泰博","1,966","統一-敦南: 883 										 										永豐金-中正: 937 										 										富邦-板橋: 4534 										 										中國信託-嘉義: 443 										 										新光-新竹: 3500 										 										日盛-景美: 3292 										 										玉山-雙和: 1104 										 										凱基-大安: 438","(牛牛牛)亞-鑫豐: -4387 										 										台新-高雄: -2381 										 										兆豐-忠孝: -2207 										 										元大-竹科: -4190","-4","0","-2"
"5243","乙盛-KY","1,949","永豐金-中正: 1949","","-2","0","-1"
"3010","華立","1,826","中國信託-忠孝: 1826","","2","0","1"
"00733","富邦臺灣中小","1,782","玉山-城中: 1782","","None","None","None"
"5474","聰泰","1,766","永豐金-板橋: 1766","","1","0","0"
"8942","森鉅","1,718","永豐金-板橋: 1718","","-1","0","-1"
"4171","瑞基","1,690","統一-敦南: 1846 										 										玉山-雙和: 980","元大-竹科: -1136","-3","0","-2"
"8155","博智","1,682","元大-竹科: 1682","","5","0","1"
"00675","L富邦臺灣加權正2","1,656","(牛牛牛)亞-鑫豐: 1656","","None","None","None"
"3357","臺慶科","1,628","統一-敦南: 2930","凱基-松山: -1302","1","0","0"
"00882","中信中國高股息","1,597","(牛牛牛)亞-鑫豐: 1597","","None","None","None"
"6615","慧智","1,587","(牛牛牛)亞-鑫豐: 1587","","-1","0","0"
"2354","鴻準","1,573","(牛牛牛)亞-鑫豐: 1573","","-1","0","1"
"8050","廣積","1,567","(牛牛牛)亞-鑫豐: 1567","","-1","0","0"
"3376","新日興","1,558","新光-新竹: 1558","","-2","3","2"
"2461","光群雷","1,534","富邦-板橋: 1534","","-4","0","-1"
"2608","嘉里大榮","1,511","國票-長城: 836 										 										永豐金-板橋: 570 										 										凱基-松山: 894 										 										元大-竹科: 1050","台新-高雄: -1839","-2","-1","1"
"5457","宣德","1,480","永豐金-板橋: 1480","","-2","0","-1"
"00636","國泰中國A50","1,478","元大-竹科: 1478","","None","None","None"
"2723","美食-KY","1,392","元大-竹科: 1392","","-1","0","0"
"3675","德微","1,387","玉山-雙和: 1387","","-1","0","0"
"2491","吉祥全","1,371","統一-敦南: 1371","","-4","0","0"
"3092","鴻碩","1,362","統一-敦南: 1020 										 										凱基-大安: 342","","16","0","-1"
"1201","味全","1,292","(牛牛牛)亞-網路: 1292","","2","0","0"
"2867","三商壽","1,291","兆豐-中壢: 1291","","-4","0","2"
"1321","大洋","1,291","(牛牛牛)亞-鑫豐: 1291","","-6","0","0"
"5604","中連貨","1,261","統一-台中: 1261","","-6","0","0"
"9103","美德醫療-DR","1,187","兆豐-中壢: 257 										 										國票-長城: 930","","1","0","-5"
"6138","茂達","1,178","富邦-板橋: 1178","","-3","4","0"
"00708","L期元大S＆P黃金正2","1,168","新光-新竹: 1168","","None","None","None"
"1815","富喬","1,136","台新-高雄: 1984 										 										兆豐-忠孝: 1985 										 										凱基-大安: 643","兆豐-中壢: -1379 										 										富邦-板橋: -1142 										 										(牛牛牛)亞-網路: -955","3","0","2"
"6541","泰福-KY","1,132","中國信託-忠孝: 1132","","-2","0","0"
"6670","復盛應用","1,094","元大-竹科: 1094","","6","0","5"
"02002","1統一�琤肮鴔滆","1,082","統一-敦南: 1082","","None","None","None"
"2406","國碩","1,075","日盛-景美: 1075","","1","0","0"
"5498","凱崴","1,071","新光-新竹: 1071","","1","0","0"
"5512","力麒","1,064","凱基-松山: 1064","","-1","0","0"
"6743","安普新","1,038","新光-新竹: 1038","","1","-1","0"
"00674","R期元大S＆P黃金反1","1,024","新光-新竹: 1024","","None","None","None"
"4952","凌通","1,014","新光-新竹: 1014","","-1","0","-1"
"00712","FH富時不動產","1,004","玉山-雙和: 1004","","None","None","None"
"6438","迅得","977","國票-長城: 977","","4","0","-1"
"3526","凡甲","962","中國信託-忠孝: 962","","-1","0","-3"
"4906","正文","952","凱基-松山: 952","","1","0","-1"
"4939","亞電","944","統一-敦南: 1416","康和-澎湖: -472","1","0","-1"
"2642","宅配通","944","中國信託-嘉義: 944","","10","0","0"
"5263","智崴","928","國票-長城: 928","","2","0","-1"
"1225","福懋油","909","永豐金-中正: 909","","2","0","0"
"6668","中揚光","876","永豐金-板橋: 876","","1","0","0"
"3094","聯傑","872","凱基-松山: 872","","1","0","0"
"8916","光隆","868","永豐金-板橋: 868","","-4","0","0"
"4930","燦星網","866","玉山-雙和: 866","","-4","0","-1"
"8183","精星","853","(牛牛牛)亞-網路: 853","","-3","0","-1"
"5328","華容","840","兆豐-中壢: 840","","1","0","0"
"2636","台驊投控","833","永豐金-中正: 1006 										 										中國信託-嘉義: 433 										 										新光-新竹: 3434 										 										日盛-景美: 6095 										 										元大-竹科: 3942 										 										凱基-大安: 563","統一-台中: -4790 										 										富邦-板橋: -3881 										 										凱基-松山: -782 										 										台新-高雄: -1318 										 										富邦-台北: -2817 										 										兆豐-忠孝: -1052","-2","0","5"
"5227","立凱-KY","825","統一-台中: 825","","-1","0","0"
"8054","安國","799","玉山-雙和: 799","","-1","0","-1"
"8076","伍豐","796","統一-台中: 796","","1","0","6"
"3122","笙泉","789","國票-長城: 789","","-2","0","0"
"2038","海光","773","統一-敦南: 1390 										 										(牛牛牛)亞-網路: 979 										 										中國信託-嘉義: 1754","統一-台中: -1314 										 										日盛-景美: -756 										 										元大-竹科: -1280","7","0","0"
"3669","圓展","749","(牛牛牛)亞-網路: 749","","-2","0","-3"
"4721","美琪瑪","747","統一-敦南: 747","","1","0","1"
"4147","中裕","707","兆豐-中壢: 707","","-2","0","0"
"8027","鈦昇","698","永豐金-板橋: 698","","1","0","-1"
"4538","大詠城","685","凱基-大安: 685","","-11","0","0"
"2439","美律","639","康和-澎湖: 639","","0","0","3"
"2028","威致","591","兆豐-中壢: 1084 										 										統一-台中: 776 										 										統一-敦南: 1360 										 										中國信託-嘉義: 494","富邦-板橋: -1477 										 										玉山-雙和: -1646","1","0","-3"
