"股票代碼","名稱","差額(仟元)","買進","賣出","外資","投信","自營商"
"4961","天鈺","-192,405","兆豐-中壢: 956 										 										康和-澎湖: 677 										 										玉山-城中: 25367 										 										永豐金-中正: 3183 										 										國票-長城: 692 										 										永豐金-板橋: 977 										 										富邦-板橋: 2632 										 										凱基-松山: 1602 										 										(牛牛牛)亞-鑫豐: 4932 										 										台新-高雄: 6849 										 										富邦-台北: 6689 										 										玉山-雙和: 1154 										 										凱基-大安: 1350","美商高盛: -98268 										 										統一-台中: -4686 										 										中國信託-忠孝: -5422 										 										摩根大通: -124427 										 										新光-新竹: -13465 										 										日盛-景美: -3197","-1","3","-2"
"3037","欣興","-192,402","康和-澎湖: 372 										 										玉山-城中: 922 										 										瑞士信貸: 160620 										 										中國信託-忠孝: 7171 										 										永豐金-中正: 7605 										 										富邦-板橋: 2614 										 										摩根大通: 115956 										 										新光-新竹: 3725 										 										日盛-景美: 3566 										 										玉山-雙和: 4172","美商高盛: -233263 										 										港商麥格理: -220921 										 										國票-長城: -14727 										 										台新-高雄: -3077 										 										富邦-台北: -3320 										 										台灣匯立證券: -21658 										 										兆豐-忠孝: -2159","-5","10","6"
"3661","世芯-KY","-174,331","瑞士信貸: 19986 										 										中國信託-忠孝: 2575 										 										永豐金-中正: 1064 										 										富邦-板橋: 1148 										 										摩根大通: 94478 										 										玉山-雙和: 536","美商高盛: -277129 										 										統一-台中: -1605 										 										統一-敦南: -1066 										 										港商麥格理: -533 										 										凱基-松山: -5377 										 										富邦-台北: -7454 										 										凱基-大安: -954","1","0","0"
"5471","松翰","-171,659","康和-澎湖: 892 										 										中國信託-忠孝: 1039 										 										永豐金-中正: 1204 										 										永豐金-板橋: 2953 										 										台新-高雄: 1617 										 										中國信託-嘉義: 2038 										 										新光-新竹: 3154 										 										凱基-大安: 884","美商高盛: -12043 										 										瑞士信貸: -17626 										 										凱基-松山: -1183 										 										摩根大通: -47725 										 										新加坡商瑞銀: -106863","-1","4","2"
"2455","全新","-165,484","玉山-城中: 1862 										 										(牛牛牛)亞-鑫豐: 1371 										 										台新-高雄: 1414 										 										台灣匯立證券: 119 										 										兆豐-忠孝: 1797 										 										元大-竹科: 1253 										 										玉山-雙和: 979","康和-澎湖: -244 										 										統一-台中: -1024 										 										瑞士信貸: -29789 										 										國票-長城: -3119 										 										凱基-松山: -4419 										 										摩根大通: -109534 										 										新加坡商瑞銀: -18333 										 										新光-新竹: -7091 										 										凱基-大安: -726","-1","4","2"
"5347","世界","-156,655","(牛牛牛)亞-網路: 3042 										 										日盛-景美: 693","摩根大通: -158882 										 										台灣匯立證券: -1508","-7","4","1"
"2409","友達","-152,315","兆豐-中壢: 1148 										 										康和-澎湖: 491 										 										玉山-城中: 12619 										 										統一-台中: 4242 										 										永豐金-板橋: 2369 										 										富邦-板橋: 6059 										 										(牛牛牛)亞-網路: 3862 										 										(牛牛牛)亞-鑫豐: 4047 										 										台新-高雄: 17665 										 										摩根大通: 28754 										 										新加坡商瑞銀: 36525 										 										富邦-台北: 3374 										 										兆豐-忠孝: 2563 										 										新光-新竹: 13606 										 										日盛-景美: 2498 										 										玉山-雙和: 10891","美商高盛: -179573 										 										瑞士信貸: -14913 										 										統一-敦南: -1957 										 										港商麥格理: -47597 										 										永豐金-中正: -15826 										 										國票-長城: -11644 										 										凱基-松山: -2527 										 										中國信託-嘉義: -4128 										 										台灣匯立證券: -6035 										 										元大-竹科: -17834 										 										凱基-大安: -994","-8","-3","-3"
"2382","廣達","-147,717","玉山-城中: 5897 										 										瑞士信貸: 30364 										 										港商麥格理: 60 										 										富邦-板橋: 1463 										 										富邦-台北: 4423 										 										台灣匯立證券: 8369 										 										日盛-景美: 1030 										 										凱基-大安: 342","美商高盛: -52857 										 										新加坡商瑞銀: -146808","10","-9","10"
"2609","陽明","-146,298","兆豐-中壢: 1378 										 										康和-澎湖: 1519 										 										玉山-城中: 8069 										 										統一-敦南: 4953 										 										港商麥格理: 44 										 										中國信託-忠孝: 16009 										 										國票-長城: 27027 										 										富邦-板橋: 7622 										 										(牛牛牛)亞-網路: 737 										 										(牛牛牛)亞-鑫豐: 12354 										 										台新-高雄: 12728 										 										富邦-台北: 2160 										 										中國信託-嘉義: 4306 										 										兆豐-忠孝: 2432 										 										新光-新竹: 86197 										 										元大-竹科: 157632 										 										凱基-大安: 1934","美商高盛: -172132 										 										統一-台中: -1760 										 										瑞士信貸: -217159 										 										永豐金-板橋: -29241 										 										凱基-松山: -12701 										 										摩根大通: -55205 										 										日盛-景美: -5201","-2","-1","-1"
"8016","矽創","-140,260","康和-澎湖: 292 										 										統一-台中: 2944 										 										統一-敦南: 1449 										 										中國信託-忠孝: 2417 										 										(牛牛牛)亞-網路: 686 										 										富邦-台北: 4277 										 										台灣匯立證券: 19956 										 										新光-新竹: 7234 										 										元大-竹科: 2403","玉山-城中: -4036 										 										美商高盛: -12277 										 										瑞士信貸: -57788 										 										國票-長城: -1377 										 										新加坡商瑞銀: -102645 										 										玉山-雙和: -3795","-1","-1","-1"
